instrument_name,funding_rate,funding_time
API3-USDT-SWAP,-0.0001428797626859,1764892800000
API3-USDT-SWAP,-0.0001678005248289,1764907200000
API3-USDT-SWAP,-0.0013712582494437,1764921600000
API3-USDT-SWAP,-0.0002937477866335,1764936000000
APR-USDT-SWAP,0.00005,1764864000000
APR-USDT-SWAP,0.00005,1764878400000
APR-USDT-SWAP,0.00005,1764892800000
APR-USDT-SWAP,0.00005,1764907200000
APR-USDT-SWAP,0.00005,1764921600000
APR-USDT-SWAP,0.0005074753474785,1764936000000
APT-USDT-SWAP,-0.0001227875921752,1764864000000
APT-USDT-SWAP,-0.0002640238896904,1764892800000
APT-USDT-SWAP,-0.0001737893008746,1764921600000
AR-USDT-SWAP,0.0001,1764864000000
AR-USDT-SWAP,0.0001,1764892800000
AR-USDT-SWAP,-0.0000625135822608,1764921600000
ARB-USDT-SWAP,0.0001,1764864000000
ARB-USDT-SWAP,0.0000255106397658,1764892800000
ARB-USDT-SWAP,0.0000986342448834,1764921600000
ARKM-USDT-SWAP,0.0001,1764864000000
ARKM-USDT-SWAP,0.00009554972371,1764892800000
ARKM-USDT-SWAP,0.0000826734130475,1764921600000
ASTER-USDT-SWAP,0.00005,1764864000000
ASTER-USDT-SWAP,0.00005,1764878400000
ASTER-USDT-SWAP,0.00005,1764892800000
ASTER-USDT-SWAP,0.0000401533458531,1764907200000
ASTER-USDT-SWAP,-0.0000100254786791,1764921600000
ASTER-USDT-SWAP,-0.0000694758376294,1764936000000
AT-USDT-SWAP,-0.0021164574082091,1764864000000
AT-USDT-SWAP,-0.0036207863353996,1764878400000
AT-USDT-SWAP,-0.0023237118961455,1764892800000
AT-USDT-SWAP,0.00005,1764907200000
AT-USDT-SWAP,0.00005,1764921600000
AT-USDT-SWAP,-0.0008855683681332,1764936000000
ATH-USDT-SWAP,0.0001,1764864000000
ATH-USDT-SWAP,0.0001,1764892800000
ATH-USDT-SWAP,0.0001,1764921600000
ATOM-USDT-SWAP,-0.0003392551954357,1764864000000
ATOM-USDT-SWAP,-0.0001535846894092,1764892800000
ATOM-USDT-SWAP,-0.0002826276048657,1764921600000
AUCTION-USDT-SWAP,-0.000060248750587,1764864000000
AUCTION-USDT-SWAP,0.00005,1764878400000
AUCTION-USDT-SWAP,0.00005,1764892800000
AUCTION-USDT-SWAP,-0.0000366793954858,1764907200000
AUCTION-USDT-SWAP,0.00005,1764921600000
AUCTION-USDT-SWAP,0.0000114049859799,1764936000000
AVAX-USD-SWAP,0.0001,1764864000000
AVAX-USD-SWAP,0.0000620524270191,1764892800000
AVAX-USD-SWAP,0.0000804895602425,1764921600000
AVAX-USDT-SWAP,0.0000441409888255,1764864000000
AVAX-USDT-SWAP,-0.0000221948720273,1764892800000
AVAX-USDT-SWAP,-0.0000972492124357,1764921600000
AVNT-USDT-SWAP,0.00005,1764864000000
AVNT-USDT-SWAP,0.0000341206115221,1764878400000
AVNT-USDT-SWAP,0.00005,1764892800000
AVNT-USDT-SWAP,-0.0000738959772585,1764907200000
AVNT-USDT-SWAP,0.00005,1764921600000
AVNT-USDT-SWAP,-0.0003421176591947,1764936000000
AXS-USDT-SWAP,0.0001,1764864000000
AXS-USDT-SWAP,0.0000401872302848,1764892800000
AXS-USDT-SWAP,0.0000765272510163,1764921600000
BABY-USDT-SWAP,0.00005,1764864000000
BABY-USDT-SWAP,0.00005,1764878400000
BABY-USDT-SWAP,0.00005,1764892800000
BABY-USDT-SWAP,0.00005,1764907200000
BABY-USDT-SWAP,0.00005,1764921600000
BABY-USDT-SWAP,0.00005,1764936000000
BAND-USDT-SWAP,-0.0001698832988558,1764864000000
BAND-USDT-SWAP,0.0001,1764892800000
BAND-USDT-SWAP,0.0001,1764921600000
BARD-USDT-SWAP,0.00005,1764864000000
BARD-USDT-SWAP,0.00005,1764878400000
BARD-USDT-SWAP,0.00005,1764892800000
BARD-USDT-SWAP,0.00005,1764907200000
BARD-USDT-SWAP,0.00005,1764921600000
BARD-USDT-SWAP,0.00005,1764936000000
BAT-USDT-SWAP,0.0001,1764864000000
BAT-USDT-SWAP,0.0000644240882871,1764892800000
BAT-USDT-SWAP,0.0000488539827465,1764921600000
BCH-USD-SWAP,-0.0000152264258907,1764864000000
BCH-USD-SWAP,0.0000058615096167,1764892800000
BCH-USD-SWAP,-0.0000619976213862,1764921600000
BCH-USDT-SWAP,-0.0000423567767255,1764864000000
BCH-USDT-SWAP,0.0000108267286195,1764892800000
BCH-USDT-SWAP,-0.000104261643722,1764921600000
BEAT-USDT-SWAP,0.0013290413621449,1764864000000
BEAT-USDT-SWAP,0.0011912254602635,1764878400000
BEAT-USDT-SWAP,0.00005,1764892800000
BEAT-USDT-SWAP,0.0010426024686622,1764907200000
BEAT-USDT-SWAP,0.00005,1764921600000
BEAT-USDT-SWAP,0.00005,1764936000000
BERA-USDT-SWAP,-0.0002802618214566,1764864000000
BERA-USDT-SWAP,-0.0001133398234741,1764878400000
BERA-USDT-SWAP,-0.0000491754591025,1764892800000
BERA-USDT-SWAP,-0.0000043810036108,1764907200000
BERA-USDT-SWAP,-0.000582459049424,1764921600000
BERA-USDT-SWAP,-0.0004386054893099,1764936000000
BICO-USDT-SWAP,0.0001,1764864000000
BICO-USDT-SWAP,0.0001,1764892800000
BICO-USDT-SWAP,0.0001,1764921600000
BIGTIME-USDT-SWAP,0.00005,1764864000000
BIGTIME-USDT-SWAP,-0.0001373017012907,1764878400000
BIGTIME-USDT-SWAP,0.0000329339038118,1764892800000
BIGTIME-USDT-SWAP,0.0000399810277044,1764907200000
BIGTIME-USDT-SWAP,0.00005,1764921600000
BIGTIME-USDT-SWAP,-0.0000013984702047,1764936000000
BIO-USDT-SWAP,0.000040710055282,1764864000000
BIO-USDT-SWAP,-0.0000782779301258,1764878400000
BIO-USDT-SWAP,0.00005,1764892800000
BIO-USDT-SWAP,-0.0001419332176066,1764907200000
