instrument_name,open,high,low,close,vol,vol_ccy,vol_quote,open_time,confirm
BTC-USDT,92968.7,93000,92845.3,92861.2,6.75858562,628144.656790195,628144.656790195,1764864000000,1
BTC-USDT,92861.2,92942.5,92844.3,92857.2,5.71013906,530509.882970962,530509.882970962,1764864060000,1
BTC-USDT,92852.1,92859.2,92768,92775.3,4.58424422,425464.577032541,425464.577032541,1764864120000,1
BTC-USDT,92775.3,92789.5,92609.1,92631.1,9.56610716,886667.878643586,886667.878643586,1764864180000,1
BTC-USDT,92631,92631,92566.4,92567.6,7.84684671,726448.894458966,726448.894458966,1764864240000,1
BTC-USDT,92567.5,92574.4,92475.4,92528.7,7.97450059,737969.537142759,737969.537142759,1764864300000,1
BTC-USDT,92528.6,92696.2,92521.4,92669.1,6.35943972,588934.519166415,588934.519166415,1764864360000,1
BTC-USDT,92680.6,92849.5,92680.6,92811.5,4.11820288,382019.400250881,382019.400250881,1764864420000,1
BTC-USDT,92811.4,92811.9,92683.7,92695.9,13.26082877,1229621.155237831,1229621.155237831,1764864480000,1
BTC-USDT,92695.7,92786,92695.7,92763.4,2.20773556,204775.651456283,204775.651456283,1764864540000,1
BTC-USDT,92763.5,92808.5,92726.5,92726.5,3.26199124,302627.792348417,302627.792348417,1764864600000,1
BTC-USDT,92726.3,92775.4,92665.2,92775.4,8.32209039,771414.221544828,771414.221544828,1764864660000,1
BTC-USDT,92775.5,92911.3,92768.5,92882.3,2.28722703,212350.418798194,212350.418798194,1764864720000,1
BTC-USDT,92882.3,92911.3,92853.6,92881.2,2.80146013,260202.60448819,260202.60448819,1764864780000,1
BTC-USDT,92881.2,92881.2,92809.5,92809.5,9.23473851,857459.160153295,857459.160153295,1764864840000,1
BTC-USDT,92809.5,92819.3,92791.5,92813.4,2.77568361,257590.024473362,257590.024473362,1764864900000,1
BTC-USDT,92813.4,92839.2,92804.8,92839.2,1.3848327,128532.844763838,128532.844763838,1764864960000,1
BTC-USDT,92839.2,92932.8,92839.2,92929.5,3.49983987,325077.438640188,325077.438640188,1764865020000,1
BTC-USDT,92929.9,92984.2,92892.7,92984.2,3.04249569,282734.725012949,282734.725012949,1764865080000,1
BTC-USDT,92984.3,93124.1,92984.3,93124.1,5.22138631,485768.249276595,485768.249276595,1764865140000,1
BTC-USDT,93124.3,93127.3,93050.9,93081,18.39659293,1712453.299330957,1712453.299330957,1764865200000,1
BTC-USDT,93081.9,93082.1,92985.1,92985.2,6.12819024,570011.386447963,570011.386447963,1764865260000,1
BTC-USDT,92985.1,93014.4,92958.8,92963.3,4.34647727,404161.438412378,404161.438412378,1764865320000,1
BTC-USDT,92963.3,92993.1,92929.6,92993.1,1.83898974,170936.397059331,170936.397059331,1764865380000,1
BTC-USDT,92993.3,93178,92993.3,93141.6,6.11365667,569199.342904023,569199.342904023,1764865440000,1
BTC-USDT,93141.6,93155.9,93096.6,93099.7,4.98642582,464346.93860031,464346.93860031,1764865500000,1
BTC-USDT,93099.7,93099.7,92949.5,92955.4,4.06451204,377994.89146754,377994.89146754,1764865560000,1
BTC-USDT,92958.6,93046.1,92958.6,93001,4.61651202,429334.225897639,429334.225897639,1764865620000,1
BTC-USDT,93000.9,93000.9,92933.5,92950.6,2.13924267,198849.58997734,198849.58997734,1764865680000,1
BTC-USDT,92950.7,92974.3,92892.5,92908.6,2.11510652,196554.099122607,196554.099122607,1764865740000,1
BTC-USDT,92908.3,92908.3,92800.1,92831.4,5.86784747,544772.399448722,544772.399448722,1764865800000,1
BTC-USDT,92823.8,92857.8,92789.4,92857.8,2.88121853,267402.475893943,267402.475893943,1764865860000,1
BTC-USDT,92857.8,92870.1,92815.9,92815.9,1.38603674,128689.210420199,128689.210420199,1764865920000,1
BTC-USDT,92815.7,92867.5,92787.4,92850,3.44091664,319440.323747178,319440.323747178,1764865980000,1
BTC-USDT,92849.9,92849.9,92764.1,92764.1,3.55160387,329579.901518279,329579.901518279,1764866040000,1
BTC-USDT,92773,92813.4,92770.9,92779.3,11.06703465,1026971.803627882,1026971.803627882,1764866100000,1
BTC-USDT,92779.3,92894.4,92753.1,92838.2,2.34879856,218068.176160804,218068.176160804,1764866160000,1
BTC-USDT,92838.1,92854.1,92757.3,92814,1.60820311,149241.23651372,149241.23651372,1764866220000,1
BTC-USDT,92822.1,92829.2,92525,92582.4,38.87719137,3603404.497031951,3603404.497031951,1764866280000,1
BTC-USDT,92582.4,92590.6,92510.1,92579.8,2.57310087,238142.684872231,238142.684872231,1764866340000,1
BTC-USDT,92575.9,92608.6,92557.5,92557.5,0.93183346,86275.415808113,86275.415808113,1764866400000,1
BTC-USDT,92557.5,92653.7,92553.6,92586.9,8.6864425,804360.862066219,804360.862066219,1764866460000,1
BTC-USDT,92586.7,92588.1,92492,92496.6,12.92365368,1195726.082741403,1195726.082741403,1764866520000,1
BTC-USDT,92499.9,92522.2,92475.1,92503.2,4.14612542,383506.178274364,383506.178274364,1764866580000,1
BTC-USDT,92503.3,92529.2,92472.1,92529.1,1.51883121,140506.621862563,140506.621862563,1764866640000,1
BTC-USDT,92529.3,92612.7,92529.3,92555.7,2.12196063,196447.462837947,196447.462837947,1764866700000,1
BTC-USDT,92555.5,92642,92553,92641.9,1.66997898,154619.764662819,154619.764662819,1764866760000,1
BTC-USDT,92642,92724.3,92620.8,92655.2,11.01535115,1020665.984739682,1020665.984739682,1764866820000,1
BTC-USDT,92655.1,92655.1,92590.3,92630.4,1.91446674,177313.998596003,177313.998596003,1764866880000,1
BTC-USDT,92628.1,92648.6,92496.1,92514.7,4.27580924,395755.009280492,395755.009280492,1764866940000,1
BTC-USDT,92514.6,92519.5,92455.4,92456.6,7.16822189,663043.476281592,663043.476281592,1764867000000,1
BTC-USDT,92460,92546.7,92460,92533.4,2.65944588,246027.34605336,246027.34605336,1764867060000,1
BTC-USDT,92535.8,92563.4,92514.6,92524.7,1.49306623,138171.487329301,138171.487329301,1764867120000,1
BTC-USDT,92524.7,92529.2,92431.3,92440,3.71780362,343837.499202018,343837.499202018,1764867180000,1
BTC-USDT,92440,92440,92331.2,92344.8,13.43671066,1241115.433993644,1241115.433993644,1764867240000,1
BTC-USDT,92344.7,92344.7,92275.8,92285.2,3.3104754,305548.264450682,305548.264450682,1764867300000,1
BTC-USDT,92288.1,92328.3,92280.3,92315.6,1.67171769,154308.063906622,154308.063906622,1764867360000,1
BTC-USDT,92315.7,92442.1,92315.6,92424.3,9.25738967,855066.054085669,855066.054085669,1764867420000,1
BTC-USDT,92424.4,92469.1,92424.3,92449.7,1.92706474,178150.222219487,178150.222219487,1764867480000,1
BTC-USDT,92449.8,92466.2,92418.1,92433.5,2.86379685,264741.879956338,264741.879956338,1764867540000,1
BTC-USDT,92429.4,92534.9,92420,92496.8,11.78289979,1089900.662950849,1089900.662950849,1764867600000,1
BTC-USDT,92496.9,92533.7,92441.1,92473.2,5.59382017,517271.17402128,517271.17402128,1764867660000,1
BTC-USDT,92473.2,92499.4,92455.9,92455.9,1.1275328,104277.752976735,104277.752976735,1764867720000,1
BTC-USDT,92455.7,92455.7,92339.7,92405.3,10.68309342,986742.784551444,986742.784551444,1764867780000,1
BTC-USDT,92405.2,92405.2,92266.6,92300.4,9.34391374,862752.517222904,862752.517222904,1764867840000,1
BTC-USDT,92300.4,92312.6,92230,92266.2,15.76937994,1455393.897126749,1455393.897126749,1764867900000,1
BTC-USDT,92266.3,92266.3,92224.4,92253.3,1.92737337,177799.013816932,177799.013816932,1764867960000,1
BTC-USDT,92253.3,92277,92226.4,92240.2,1.51505696,139771.3145296,139771.3145296,1764868020000,1
BTC-USDT,92237.8,92273.6,92224.7,92251.1,1.72508834,159124.469072138,159124.469072138,1764868080000,1
BTC-USDT,92251.1,92251.1,92190.1,92217.4,1.3489471,124400.802238604,124400.802238604,1764868140000,1
BTC-USDT,92217.5,92235.5,92142.8,92142.8,2.24227882,206693.401935089,206693.401935089,1764868200000,1
BTC-USDT,92142.8,92194.3,92077.6,92166.2,9.89773045,911764.854827537,911764.854827537,1764868260000,1
